scale,instance_idx,pref_id,w1,w2,f1,f2,scheduled,seconds
s10_n300,0,31,0.36734693877551017,0.6326530612244898,0.26406554618112904,0.9142740987794686,76,0.36817383766174316
s10_n300,0,32,0.34693877551020413,0.6530612244897959,0.26954014539776694,0.9042267382470276,76,0.4077122211456299
s10_n300,0,33,0.326530612244898,0.673469387755102,0.25546699490707214,0.8859018544860517,75,0.3680860996246338
s10_n300,0,34,0.30612244897959184,0.6938775510204082,0.2606280753649507,0.9176200266948304,75,0.3817753791809082
s10_n300,0,35,0.2857142857142857,0.7142857142857143,0.2605803690492777,0.9392260031965911,75,0.43604183197021484
s10_n300,0,36,0.26530612244897955,0.7346938775510204,0.24055565046156047,0.9239602443337565,72,0.3312399387359619
s10_n300,0,37,0.24489795918367352,0.7551020408163265,0.23355173269406654,0.9138480486267384,71,0.34955620765686035
s10_n300,0,38,0.22448979591836737,0.7755102040816326,0.2429586865678421,0.9138480486267384,73,0.2911946773529053
s10_n300,0,39,0.20408163265306123,0.7959183673469388,0.2558735263562049,0.9238022366184248,75,0.3765232563018799
s10_n300,0,40,0.18367346938775508,0.8163265306122449,0.24710268810841962,0.9138480486267382,73,0.3380300998687744
s10_n300,0,41,0.16326530612244894,0.8367346938775511,0.24710268810841962,0.9138480486267382,73,0.358623743057251
s10_n300,0,42,0.1428571428571429,0.8571428571428571,0.24710268810841962,0.9138480486267382,73,0.33210110664367676
s10_n300,0,43,0.12244897959183676,0.8775510204081632,0.24148267021836436,0.8922420721249777,72,0.33181333541870117
s10_n300,0,44,0.10204081632653061,0.8979591836734694,0.24268585506222246,0.898248629032928,73,0.3455817699432373
s10_n300,0,45,0.08163265306122447,0.9183673469387755,0.22732522466910574,0.9007120972059734,70,0.26000165939331055
s10_n300,0,46,0.061224489795918324,0.9387755102040817,0.22732522466910568,0.9007120972059733,70,0.3704044818878174
s10_n300,0,47,0.04081632653061229,0.9591836734693877,0.23864654747329608,0.9007120972059733,72,0.24016118049621582
s10_n300,0,48,0.020408163265306145,0.9795918367346939,0.23121724905718535,0.9107594577384144,71,0.29613709449768066
s10_n300,0,49,0.0,1.0,0.23121724905718535,0.9107594577384144,71,0.22114253044128418
