scale_group,scale,instance_idx,variant,policy_ablation,satellites,tasks,num_prefs,hv,igd,igd_norm,hv_gap_to_full_percent,seconds,seconds_per_pref,avg_scheduled,points,nd_points,reference_hv
Medium,s8_n300,7,w/o preference conditioning,final_pair_no_preference,8,300,50,0.1919514132925661,0.10217206859264075,0.46376484434037846,30.14417117983836,3.780174970626831,0.07560349941253662,58.0,50,1,0.2747822429918196
Medium,s8_n300,8,Full,final_pair_self_cross,8,300,50,0.29104322616316547,0.0,0.0,0.0,3.9624931812286377,0.07924986362457276,63.12,50,16,0.29104322616316547
Medium,s8_n300,8,w/o exact-oracle teacher,final_pair_self_cross,8,300,50,0.20909198876025287,0.07433515794223375,0.3516132083916981,28.157754599988138,3.6501402854919434,0.07300280570983887,55.3,50,10,0.29104322616316547
Medium,s8_n300,8,w/o trajectory-level labels,final_pair_self_cross,8,300,50,0.22389868137263635,0.08291271545171483,0.2730977937877978,23.07029978869405,3.794219970703125,0.0758843994140625,59.94,50,9,0.29104322616316547
Medium,s8_n300,8,w/o preference conditioning,final_pair_no_preference,8,300,50,0.20086533877002505,0.12786190988412974,0.4571695967102024,30.984362213805532,3.792994499206543,0.07585988998413086,61.0,50,1,0.29104322616316547
Medium,s8_n300,9,Full,final_pair_self_cross,8,300,50,0.29689289182402917,0.0,0.0,0.0,3.872720956802368,0.07745441913604736,62.16,50,16,0.29689289182402917
Medium,s8_n300,9,w/o exact-oracle teacher,final_pair_self_cross,8,300,50,0.2407521698113089,0.08164788773507246,0.48194277045353434,18.909419376060825,3.6933655738830566,0.07386731147766114,57.04,50,6,0.29689289182402917
Medium,s8_n300,9,w/o trajectory-level labels,final_pair_self_cross,8,300,50,0.25930864441829954,0.041548206944719016,0.2581510011210031,12.659194086736884,3.749850034713745,0.0749970006942749,57.26,50,8,0.29689289182402917
Medium,s8_n300,9,w/o preference conditioning,final_pair_no_preference,8,300,50,0.2055964410926963,0.06544048166325508,0.47418036622035087,30.75063541280234,3.775151491165161,0.07550302982330322,59.0,50,1,0.29689289182402917
Medium,s8_n400,0,Full,final_pair_self_cross,8,400,50,0.2245983746817543,0.006667205323831804,0.014601609981412064,0.0,5.471386909484863,0.10942773818969727,65.78,50,13,0.22522660859992377
Medium,s8_n400,0,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.17058497655569355,0.05809193439337679,0.33648695175882165,24.048882011098833,5.103196859359741,0.10206393718719482,54.96,50,10,0.22522660859992377
