scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,1,0.75,0.25,2,178,198.32109508514404,247.32109508514404,49.0,6.417029896171362,False,True
s8_n400,9,1,0.75,0.25,3,207,189.0,207.0,18.0,6.102634737950009,False,True
s8_n400,9,1,0.75,0.25,6,79,169.0,221.0,52.0,7.696915507067875,False,True
s8_n400,9,1,0.75,0.25,7,159,22.0,44.0,22.0,6.308681465319681,False,True
s8_n400,9,1,0.75,0.25,0,247,386.0,401.0,15.0,9.767674064402062,False,True
s8_n400,9,1,0.75,0.25,3,80,259.0,284.0,25.0,7.9700800430536685,False,True
s8_n400,9,1,0.75,0.25,5,274,33.0,84.0,51.0,9.226802889777801,False,True
s8_n400,9,1,0.75,0.25,7,62,303.0,319.0,16.0,4.459982938933999,False,True
s8_n400,9,1,0.75,0.25,2,166,353.0,404.0,51.0,7.45615577079997,False,True
s8_n400,9,1,0.75,0.25,4,229,304.0,340.0,36.0,8.968169956163319,False,True
s8_n400,9,1,0.75,0.25,0,171,645.0,660.0,15.0,9.925731469678077,False,False
s8_n400,9,1,0.75,0.25,0,14,661.8714277267457,676.8714277267457,15.0,8.935366993671323,False,False
s8_n400,9,1,0.75,0.25,2,236,411.271398639679,440.271398639679,29.0,9.239392466265194,False,True
s8_n400,9,1,0.75,0.25,6,92,517.0,548.0,31.0,7.00130500118533,False,True
s8_n400,9,1,0.75,0.25,0,237,885.0,902.0,17.0,7.370381231329392,False,False
s8_n400,9,1,0.75,0.25,4,99,342.63812770843504,380.63812770843504,38.0,9.63971181018958,False,True
s8_n400,9,1,0.75,0.25,3,108,286.0907136917114,302.0907136917114,16.0,9.342698634643044,False,True
s8_n400,9,1,0.75,0.25,2,218,444.41262688636783,479.41262688636783,35.0,7.888731496572947,False,True
s8_n400,9,1,0.75,0.25,7,111,330.00470809936525,352.00470809936525,22.0,7.05280171392589,False,True
s8_n400,9,1,0.75,0.25,0,128,905.1711969852447,946.1711969852447,41.0,8.518343845438459,False,True
s8_n400,9,1,0.75,0.25,5,36,88.60498886108398,106.60498886108398,18.0,2.1450106090126884,False,True
s8_n400,9,1,0.75,0.25,4,60,382.1145475387573,397.1145475387573,15.0,1.4445812616133877,False,True
s8_n400,9,1,0.75,0.25,6,208,555.9865846303408,595.9865846303408,40.0,9.055130491557708,False,True
s8_n400,9,1,0.75,0.25,2,206,1341.0,1357.0,16.0,9.142073676938024,False,False
s8_n400,9,1,0.75,0.25,2,23,1488.0,1511.0,23.0,9.774734476926028,False,False
s8_n400,9,1,0.75,0.25,3,149,532.0,549.0,17.0,8.587721086498338,False,False
s8_n400,9,1,0.75,0.25,4,148,673.0,730.0,57.0,7.8271309787453855,False,True
s8_n400,9,1,0.75,0.25,4,234,818.0,833.0,15.0,9.609480543280911,False,False
s8_n400,9,1,0.75,0.25,6,49,606.9648939782188,622.9648939782188,16.0,1.8785918722133936,False,True
s8_n400,9,1,0.75,0.25,0,151,947.115252161026,967.115252161026,20.0,3.8888162812325224,False,True
