scale,method,hv,igd,seconds
s10_n200,NSGA-II,0.24525845433154553,0.144774394284188,68.74418160915374
s10_n200,SPEA2,0.24681397425120538,0.14778361193121375,71.1864226102829
s10_n200,IBEA,0.25045960045364934,0.1421077248919337,84.93228700160981
s10_n200,MOEA/D,0.26811230003972,0.12525327906359465,70.97476766109466
s10_n300,KDPCS,0.22201944730135098,0.0010325947940324895,0.7516597986221314
s10_n300,MONP,0.21128509271977708,0.03071883122090987,23.59822783470154
s10_n300,NSGA-II,0.16604182253780456,0.14550565370636045,81.68286774158477
s10_n300,SPEA2,0.1662009098938454,0.14141940628505795,66.37750527858734
s10_n300,IBEA,0.16673489030503147,0.14368565520280616,89.96745326519013
s10_n300,MOEA/D,0.16345858436483038,0.150018409854769,63.75920786857605
s10_n400,KDPCS,0.1577719277778229,0.0005615684486924859,0.8961557626724244
s10_n400,MONP,0.14824922412470903,0.029909405501977425,29.584954714775087
s10_n400,NSGA-II,0.11397833513023578,0.14912023082212733,108.11533989906312
s10_n400,SPEA2,0.11514896482504915,0.140463503030482,88.26501033306121
s10_n400,IBEA,0.11284535433389124,0.15389211189905003,111.07093842029572
s10_n400,MOEA/D,0.11138851618253012,0.15439658818851335,80.88005895614624
s15_n400,KDPCS,0.24683844856340637,0.0009316015000430378,1.6814297199249268
s15_n400,MONP,0.22848358721024642,0.03028369305085087,47.52293026447296
s15_n400,NSGA-II,0.18721487729244252,0.14123021411017517,134.48206737041474
s15_n400,SPEA2,0.1866273645447736,0.1410968916898377,104.72761216163636
s15_n400,IBEA,0.18506739305846537,0.14302581763472882,125.87243714332581
s15_n400,MOEA/D,0.1843920226115996,0.15365142285244124,82.03426411151887
s15_n600,KDPCS,0.1630490052133564,0.00014125687243542905,2.2832448720932006
s15_n600,MONP,0.15353220900544268,0.03164290982147264,71.29346904754638
s15_n600,NSGA-II,0.11037150432738932,0.17389400949683292,175.82173342704772
s15_n600,SPEA2,0.11190024071981994,0.16953979074180092,169.19619686603545
s15_n600,IBEA,0.10877528829304162,0.1752759144594381,171.22159490585327
s15_n600,MOEA/D,0.10834304935210896,0.1823365591719213,119.31828663349151
s15_n800,KDPCS,0.12214099904068129,3.765377616580875e-05,2.8605655670166015
s15_n800,MONP,0.11811186234086972,0.03105834298828698,91.0473773241043
s15_n800,NSGA-II,0.08612637651531022,0.14823338767851885,205.5065629005432
s15_n800,SPEA2,0.08612432102765051,0.14661215881729742,222.88269023895265
s15_n800,IBEA,0.08330549717111543,0.15340444427373276,243.06611812114716
s15_n800,MOEA/D,0.08450649815662856,0.15877595725211127,150.77796990871428
s20_n400,KDPCS,0.27507313579390424,0.0004373002846387846,2.285343289375305
s20_n400,MONP,0.2586151959260679,0.031637537881202105,57.08954389095307
s20_n400,NSGA-II,0.20401184115796167,0.16335239501753426,175.77336344718933
s20_n400,SPEA2,0.20396526163319662,0.16105286790357723,137.6633544445038
s20_n400,IBEA,0.1999558727191355,0.16900276432666855,193.33239409923553
s20_n400,MOEA/D,0.19853518836143605,0.17330511449924163,155.2054241657257
s20_n600,KDPCS,0.19483791222484748,0.0003092975374608967,3.2019639730453493
s20_n600,MONP,0.18560171035006065,0.031384972830957446,84.9266170501709
s20_n600,NSGA-II,0.13661111888819488,0.16042531857113027,225.10205526351928
s20_n600,SPEA2,0.13666174271312376,0.1589084970160241,165.38519883155823
s20_n600,IBEA,0.13494139849203496,0.16333935078549228,240.89732644557952
s20_n600,MOEA/D,0.13358545415764778,0.17143378697647774,131.0861419916153
s20_n800,KDPCS,0.13772432058556158,0.00014860612942044522,3.8589107275009153
s20_n800,MONP,0.13207484459210456,0.029468870773346822,103.32828350067139
s20_n800,NSGA-II,0.09970611901044493,0.14400702580543592,264.29711351394656
s20_n800,SPEA2,0.10019950655964265,0.1393856726979204,214.9711880683899
s20_n800,IBEA,0.09828012131341078,0.14607973156819679,277.50248579978944
s20_n800,MOEA/D,0.09676056021919818,0.15251106519603647,184.87103519439697
