scale,instance_idx,seed,method,satellites,tasks,hv,igd,igd_norm,coverage,seconds,points,nd_points,avg_scheduled,reference_hv
s20_n800,7,20260701,KDPCS,20,800,0.13381829910354973,0.000195725520980491,0.0003127247286366025,0.9666666666666667,3.8004515171051025,50,29,122.04,0.13019536417606165
s20_n800,7,20260701,SPEA2,20,800,0.09572893779592553,0.13061535597498614,0.20869353954675218,0.0,307.45430994033813,30,30,,0.13019536417606165
s20_n800,8,20260701,IBEA,20,800,0.1020907577768519,0.1355631551418346,0.28767978556089924,0.0,332.54896211624146,30,30,,0.15226024161796967
s20_n800,8,20260701,MOEA/D,20,800,0.09900057818780944,0.15330658212492612,0.3253332708627918,0.0,250.9529058933258,10,10,,0.15226024161796967
s20_n800,8,20260701,MONP,20,800,0.14197116423838546,0.031589186655569056,0.0670356958984124,0.0,124.19684886932373,50,11,125.54,0.15226024161796967
s20_n800,8,20260701,NSGA-II,20,800,0.10177407704233055,0.1369920403029789,0.2907120355577296,0.0,386.3156564235687,38,38,,0.15226024161796967
s20_n800,8,20260701,KDPCS,20,800,0.15226024161796967,0.0,0.0,1.0,4.178309202194214,50,23,137.26,0.15226024161796967
s20_n800,8,20260701,SPEA2,20,800,0.10629652594610652,0.12865084600238794,0.2730111124329676,0.0,176.01662755012512,31,31,,0.15226024161796967
s20_n800,9,20260701,IBEA,20,800,0.09335574554531324,0.18584010622613084,0.4162947142064213,0.0,306.03484416007996,30,30,,0.15006137111655765
s20_n800,9,20260701,MOEA/D,20,800,0.09076113346292304,0.19170578106796216,0.42943423226576155,0.0,234.1250925064087,21,21,,0.15006137111655765
s20_n800,9,20260701,MONP,20,800,0.14037958187715632,0.03697720530100898,0.08283150190521815,0.0,126.72994446754456,50,10,120.66,0.15006137111655765
s20_n800,9,20260701,NSGA-II,20,800,0.0957081985873901,0.18232798660670368,0.40842732291549544,0.0,375.13515281677246,27,27,,0.15006137111655765
s20_n800,9,20260701,KDPCS,20,800,0.15006137111655765,0.0,0.0,1.0,3.9992384910583496,50,18,131.1,0.15006137111655765
