num_prefs,scale,instance_idx,seed,front_type,point_idx,f1,f2
50,s3_n100,0,20260701,all,14,0.3271437143949846,0.8372712678552182
50,s3_n100,0,20260701,all,15,0.3271437143949846,0.8372712678552182
50,s3_n100,0,20260701,all,16,0.3173715520337335,0.8542420636698618
50,s3_n100,0,20260701,all,17,0.3173715520337335,0.8542420636698618
50,s3_n100,0,20260701,all,18,0.3173715520337335,0.8542420636698618
50,s3_n100,0,20260701,all,19,0.3084660550337359,0.8872033867994895
50,s3_n100,0,20260701,all,20,0.307959768674201,0.8872033867994895
50,s3_n100,0,20260701,all,21,0.307959768674201,0.8872033867994895
50,s3_n100,0,20260701,all,22,0.3109136374618391,0.8872033867994895
50,s3_n100,0,20260701,all,23,0.3109136374618391,0.8872033867994895
50,s3_n100,0,20260701,all,24,0.31091363746183903,0.8872033867994895
50,s3_n100,0,20260701,all,25,0.31091363746183903,0.8872033867994895
50,s3_n100,0,20260701,all,26,0.30137462672500415,0.9043049840414027
50,s3_n100,0,20260701,all,27,0.2845961911472062,0.9043049840414026
50,s3_n100,0,20260701,all,28,0.2845961911472062,0.9043049840414027
50,s3_n100,0,20260701,all,29,0.2958404811070381,0.9043049840414027
50,s3_n100,0,20260701,all,30,0.29335765916541257,0.9043049840414027
50,s3_n100,0,20260701,all,31,0.29335765916541257,0.9043049840414027
50,s3_n100,0,20260701,all,32,0.29149770395687175,0.9043049840414027
50,s3_n100,0,20260701,all,33,0.29149770395687175,0.9043049840414027
50,s3_n100,0,20260701,all,34,0.29149770395687175,0.9043049840414027
50,s3_n100,0,20260701,all,35,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,36,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,37,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,38,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,39,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,40,0.2755834062820288,0.9479628787624519
50,s3_n100,0,20260701,all,41,0.2755834062820288,0.9479628787624519
50,s3_n100,0,20260701,all,42,0.29149770395687175,0.9043049840414025
