num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,normalized_hv,igd_to_k200,nd_points,seconds,seconds_per_pref,avg_scheduled
100,s5_n150,small,5,20260706,5,150,0.3313261226689038,99.97207331125038,0.002709418869724126,16,0.965261697769165,0.009652616977691651,38.71
150,s5_n150,small,5,20260706,5,150,0.3301693909832727,99.62304902078439,0.003462384312610445,15,1.5459113121032715,0.01030607541402181,38.7
200,s5_n150,small,5,20260706,5,150,0.33141867693126853,100.0,0.0,16,1.9409048557281494,0.009704524278640747,38.68
20,s5_n150,small,6,20260707,5,150,0.3533645269822726,98.78839341885966,0.022588414906464217,8,0.10600161552429199,0.0053000807762146,40.3
50,s5_n150,small,6,20260707,5,150,0.35684955073601,99.762684473478,0.007804599405178567,13,0.20912432670593262,0.004182486534118652,40.4
100,s5_n150,small,6,20260707,5,150,0.35954397151723194,100.51595051985923,0.0032916353926276546,16,1.0662286281585693,0.010662286281585694,40.45
150,s5_n150,small,6,20260707,5,150,0.35771796595536787,100.00546307118698,0.003490419495531441,18,1.5551493167877197,0.01036766211191813,40.46
200,s5_n150,small,6,20260707,5,150,0.35769842463579526,100.00000000000001,0.0,16,1.9698772430419922,0.009849386215209961,40.47
20,s5_n150,small,7,20260708,5,150,0.31491195128674065,97.34182207862914,0.010858788533333757,8,0.09800100326538086,0.004900050163269043,37.4
50,s5_n150,small,7,20260708,5,150,0.3188713242094844,98.56569615839605,0.011495979156369605,8,0.19520068168640137,0.0039040136337280275,37.38
100,s5_n150,small,7,20260708,5,150,0.321756819757511,99.4576260870539,0.0015617378015537467,9,0.9494895935058594,0.009494895935058595,37.35
150,s5_n150,small,7,20260708,5,150,0.32257593709920107,99.71082185879426,0.003767572019461078,9,1.5010285377502441,0.010006856918334962,37.36
200,s5_n150,small,7,20260708,5,150,0.32351146153024174,100.0,0.0,10,1.950268030166626,0.00975134015083313,37.335
20,s5_n150,small,8,20260709,5,150,0.3124587466510176,99.02691229537118,0.025440883921576906,9,0.09300422668457031,0.004650211334228516,35.25
50,s5_n150,small,8,20260709,5,150,0.3095099594417716,98.09235918883307,0.006459568001421628,12,0.18500065803527832,0.0037000131607055663,35.42
100,s5_n150,small,8,20260709,5,150,0.31502959812848225,99.84168700247086,0.017417206947696457,11,1.079129934310913,0.01079129934310913,35.38
150,s5_n150,small,8,20260709,5,150,0.3176774843535395,100.68087617476095,0.002140033626944006,14,1.4546897411346436,0.00969793160756429,35.38666666666666
200,s5_n150,small,8,20260709,5,150,0.3155291217391849,100.0,0.0,12,1.9131507873535156,0.009565753936767578,35.37
20,s5_n150,small,9,20260710,5,150,0.3265588860816234,97.44102984023337,0.01828367121238338,8,0.09357881546020508,0.004678940773010254,35.1
50,s5_n150,small,9,20260710,5,150,0.334036817727068,99.67234980016507,0.010606279505869159,12,0.18599915504455566,0.0037199831008911132,35.0
100,s5_n150,small,9,20260710,5,150,0.33462709034710864,99.84847966352109,0.00379010553033281,14,0.9428679943084717,0.009428679943084717,35.06
150,s5_n150,small,9,20260710,5,150,0.3350860519298498,99.98542797877296,0.0002576766843036607,18,1.47066068649292,0.009804404576619467,35.026666666666664
200,s5_n150,small,9,20260710,5,150,0.33513488785684753,99.99999999999999,0.0,17,1.8695659637451172,0.009347829818725586,35.05
20,s5_n200,small,0,20260701,5,200,0.2534181201123591,98.90882379957799,0.014575775172298043,10,0.10608220100402832,0.005304110050201416,35.85
50,s5_n200,small,0,20260701,5,200,0.2548886148182752,99.48275632540204,0.009220364303781812,12,0.21400070190429688,0.004280014038085938,35.78
100,s5_n200,small,0,20260701,5,200,0.2557181436057244,99.80652053231083,0.0030173797748609833,14,1.1820921897888184,0.011820921897888184,35.7
150,s5_n200,small,0,20260701,5,200,0.2559822770889332,99.90961155097469,0.002656790546250432,14,1.8983533382415771,0.012655688921610514,35.7
200,s5_n200,small,0,20260701,5,200,0.2562138648275386,100.0,0.0,16,2.369603395462036,0.01184801697731018,35.68
20,s5_n200,small,1,20260702,5,200,0.250585279280909,97.45585305754877,0.0062313904221295985,10,0.11300182342529297,0.005650091171264649,40.45
