num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,nd_points,seconds,seconds_per_pref,avg_scheduled
200,s3_n100,small,9,20260710,3,100,0.29994786093325243,15,0.3380415439605713,0.0016902077198028564,20.835
20,s5_n150,small,0,20260701,5,150,0.3218846666295824,9,0.10100007057189941,0.005050003528594971,36.6
50,s5_n150,small,0,20260701,5,150,0.3246099938339287,13,0.1979997158050537,0.003959994316101074,36.36
100,s5_n150,small,0,20260701,5,150,0.32615322074327313,14,0.38555455207824707,0.0038555455207824707,36.33
150,s5_n150,small,0,20260701,5,150,0.3278104371416244,12,0.5755264759063721,0.0038368431727091473,36.333333333333336
200,s5_n150,small,0,20260701,5,150,0.32783063119892863,12,0.7876379489898682,0.003938189744949341,36.33
20,s5_n150,small,1,20260702,5,150,0.35235947514124794,8,0.10600018501281738,0.005300009250640869,39.75
50,s5_n150,small,1,20260702,5,150,0.3616303617477177,13,0.21900177001953125,0.004380035400390625,39.86
100,s5_n150,small,1,20260702,5,150,0.3638740413529839,16,0.4037795066833496,0.0040377950668334965,39.89
150,s5_n150,small,1,20260702,5,150,0.3615843472366148,16,0.6175451278686523,0.0041169675191243486,39.906666666666666
200,s5_n150,small,1,20260702,5,150,0.36221549469346304,14,0.8601758480072021,0.004300879240036011,39.905
20,s5_n150,small,2,20260703,5,150,0.34776170482318236,11,0.10800457000732422,0.005400228500366211,40.15
50,s5_n150,small,2,20260703,5,150,0.3493013800769656,11,0.21320533752441406,0.004264106750488281,40.14
100,s5_n150,small,2,20260703,5,150,0.3500980916702683,13,0.39999961853027344,0.0039999961853027345,40.15
150,s5_n150,small,2,20260703,5,150,0.3506031566202856,15,0.6021430492401123,0.004014286994934082,40.14666666666667
200,s5_n150,small,2,20260703,5,150,0.3502762043818458,14,0.8398125171661377,0.004199062585830689,40.125
20,s5_n150,small,3,20260704,5,150,0.3010277490571708,10,0.09299993515014648,0.004649996757507324,35.1
50,s5_n150,small,3,20260704,5,150,0.3057278658749889,14,0.19100093841552734,0.003820018768310547,35.24
100,s5_n150,small,3,20260704,5,150,0.30567982841715385,19,0.3620002269744873,0.003620002269744873,35.23
150,s5_n150,small,3,20260704,5,150,0.30599895516635767,17,0.5632739067077637,0.003755159378051758,35.17333333333333
200,s5_n150,small,3,20260704,5,150,0.3063087126744232,18,0.7541112899780273,0.003770556449890137,35.21
20,s5_n150,small,4,20260705,5,150,0.33179361767374616,6,0.10300111770629883,0.005150055885314942,37.7
50,s5_n150,small,4,20260705,5,150,0.34229620173559855,8,0.2046821117401123,0.004093642234802246,37.58
100,s5_n150,small,4,20260705,5,150,0.3432619043211401,12,0.3895442485809326,0.003895442485809326,37.51
150,s5_n150,small,4,20260705,5,150,0.34330527038381603,15,0.5800926685333252,0.003867284456888835,37.53333333333333
200,s5_n150,small,4,20260705,5,150,0.3440368862335377,12,0.7920863628387451,0.003960431814193726,37.525
20,s5_n150,small,5,20260706,5,150,0.32142362597984103,8,0.10199999809265137,0.0050999999046325685,38.5
50,s5_n150,small,5,20260706,5,150,0.3286231834192546,11,0.20600008964538574,0.004120001792907715,38.62
100,s5_n150,small,5,20260706,5,150,0.3313261226689038,16,0.390988826751709,0.0039098882675170895,38.71
150,s5_n150,small,5,20260706,5,150,0.3301693909832727,15,0.6001615524291992,0.0040010770161946615,38.7
200,s5_n150,small,5,20260706,5,150,0.33141867693126853,16,0.8251678943634033,0.004125839471817017,38.68
20,s5_n150,small,6,20260707,5,150,0.3533645269822726,8,0.10605549812316895,0.0053027749061584474,40.3
50,s5_n150,small,6,20260707,5,150,0.35684955073601,13,0.2130262851715088,0.0042605257034301755,40.4
100,s5_n150,small,6,20260707,5,150,0.35954397151723194,16,0.40199851989746094,0.00401998519897461,40.45
150,s5_n150,small,6,20260707,5,150,0.35771796595536787,18,0.6210663318634033,0.004140442212422689,40.46
200,s5_n150,small,6,20260707,5,150,0.35769842463579526,16,0.8495397567749023,0.004247698783874512,40.47
20,s5_n150,small,7,20260708,5,150,0.31491195128674065,8,0.09999966621398926,0.004999983310699463,37.4
50,s5_n150,small,7,20260708,5,150,0.3188713242094844,8,0.19707131385803223,0.003941426277160645,37.38
100,s5_n150,small,7,20260708,5,150,0.321756819757511,9,0.37312960624694824,0.0037312960624694825,37.35
150,s5_n150,small,7,20260708,5,150,0.32257593709920107,9,0.5761592388153076,0.0038410615921020508,37.36
200,s5_n150,small,7,20260708,5,150,0.32351146153024174,10,0.7840576171875,0.0039202880859375,37.335
20,s5_n150,small,8,20260709,5,150,0.3124587466510176,9,0.09491991996765137,0.004745995998382569,35.25
50,s5_n150,small,8,20260709,5,150,0.3095099594417716,12,0.19160938262939453,0.0038321876525878908,35.42
100,s5_n150,small,8,20260709,5,150,0.31502959812848225,11,0.362058162689209,0.0036205816268920898,35.38
150,s5_n150,small,8,20260709,5,150,0.3176774843535395,14,0.550614595413208,0.0036707639694213865,35.38666666666666
200,s5_n150,small,8,20260709,5,150,0.3155291217391849,12,0.7578649520874023,0.0037893247604370117,35.37
20,s5_n150,small,9,20260710,5,150,0.3265588860816234,8,0.09590935707092285,0.004795467853546143,35.1
50,s5_n150,small,9,20260710,5,150,0.334036817727068,12,0.19005966186523438,0.0038011932373046876,35.0
100,s5_n150,small,9,20260710,5,150,0.33462709034710864,14,0.3600032329559326,0.003600032329559326,35.06
150,s5_n150,small,9,20260710,5,150,0.3350860519298498,18,0.547635555267334,0.0036509037017822266,35.026666666666664
200,s5_n150,small,9,20260710,5,150,0.33513488785684753,17,0.7603073120117188,0.0038015365600585936,35.05
20,s5_n200,small,0,20260701,5,200,0.2534181201123591,10,0.10796666145324707,0.0053983330726623535,35.85
50,s5_n200,small,0,20260701,5,200,0.2548886148182752,12,0.21562743186950684,0.004312548637390137,35.78
100,s5_n200,small,0,20260701,5,200,0.2557181436057244,14,0.4186413288116455,0.004186413288116455,35.7
150,s5_n200,small,0,20260701,5,200,0.2559822770889332,14,0.6396934986114502,0.004264623324076335,35.7
200,s5_n200,small,0,20260701,5,200,0.2562138648275386,16,0.8999152183532715,0.0044995760917663575,35.68
20,s5_n200,small,1,20260702,5,200,0.250585279280909,10,0.11255574226379395,0.005627787113189698,40.45
50,s5_n200,small,1,20260702,5,200,0.2522892624485825,8,0.23600029945373535,0.004720005989074707,40.24
100,s5_n200,small,1,20260702,5,200,0.2554950601891848,8,0.47101712226867676,0.0047101712226867674,40.34
150,s5_n200,small,1,20260702,5,200,0.25712696715397443,9,0.7124879360198975,0.004749919573465983,40.34
200,s5_n200,small,1,20260702,5,200,0.25712696715397443,9,0.9959580898284912,0.004979790449142456,40.33
20,s5_n200,small,2,20260703,5,200,0.262710021081487,11,0.10854911804199219,0.00542745590209961,38.05
50,s5_n200,small,2,20260703,5,200,0.26819375732023765,16,0.22699999809265137,0.004539999961853027,38.02
100,s5_n200,small,2,20260703,5,200,0.26893361546812294,21,0.44562578201293945,0.004456257820129395,38.04
150,s5_n200,small,2,20260703,5,200,0.2692629626279736,20,0.6930158138275146,0.004620105425516764,38.0
200,s5_n200,small,2,20260703,5,200,0.27002708464032177,16,0.9440586566925049,0.004720293283462525,38.025
20,s5_n200,small,3,20260704,5,200,0.26875714318738886,10,0.1170036792755127,0.005850183963775635,40.75
50,s5_n200,small,3,20260704,5,200,0.26993040141278357,14,0.238999605178833,0.0047799921035766605,40.82
100,s5_n200,small,3,20260704,5,200,0.27034470316575665,15,0.4629983901977539,0.004629983901977539,40.82
150,s5_n200,small,3,20260704,5,200,0.27089736247643664,16,0.7239987850189209,0.0048266585667928056,40.81333333333333
200,s5_n200,small,3,20260704,5,200,0.27089736247643664,16,0.9390835762023926,0.0046954178810119625,40.815
20,s5_n200,small,4,20260705,5,200,0.26946249567044284,7,0.11460041999816895,0.0057300209999084474,40.7
50,s5_n200,small,4,20260705,5,200,0.2708529520127776,10,0.23099970817565918,0.0046199941635131836,40.74
100,s5_n200,small,4,20260705,5,200,0.2714348852225884,12,0.5000653266906738,0.005000653266906738,40.71
150,s5_n200,small,4,20260705,5,200,0.2714539430089194,11,0.7182984352111816,0.004788656234741211,40.72
200,s5_n200,small,4,20260705,5,200,0.27149078527379267,11,0.9972071647644043,0.004986035823822022,40.68
20,s5_n200,small,5,20260706,5,200,0.2706507390295939,12,0.12099957466125488,0.006049978733062744,42.8
50,s5_n200,small,5,20260706,5,200,0.27347664547175965,15,0.2545650005340576,0.005091300010681152,42.82
100,s5_n200,small,5,20260706,5,200,0.28135967015476565,20,0.48308682441711426,0.004830868244171143,42.7
150,s5_n200,small,5,20260706,5,200,0.2818864012564897,19,0.7205448150634766,0.004803632100423177,42.76
200,s5_n200,small,5,20260706,5,200,0.28157425017736804,20,1.0393040180206299,0.005196520090103149,42.76
20,s5_n200,small,6,20260707,5,200,0.26846807829284053,7,0.11299824714660645,0.0056499123573303224,39.75
50,s5_n200,small,6,20260707,5,200,0.27062921256477124,8,0.22899937629699707,0.0045799875259399415,39.48
100,s5_n200,small,6,20260707,5,200,0.27152113941826456,12,0.44568634033203125,0.004456863403320312,39.41
150,s5_n200,small,6,20260707,5,200,0.2715249720387426,13,0.6486961841583252,0.004324641227722168,39.473333333333336
200,s5_n200,small,6,20260707,5,200,0.271630333893085,12,0.954824686050415,0.004774123430252075,39.455
20,s5_n200,small,7,20260708,5,200,0.24994633203786856,10,0.10500121116638184,0.0052500605583190914,36.75
50,s5_n200,small,7,20260708,5,200,0.25553474087593053,12,0.21758127212524414,0.004351625442504883,36.6
100,s5_n200,small,7,20260708,5,200,0.25632125176052767,16,0.41558265686035156,0.0041558265686035155,36.65
150,s5_n200,small,7,20260708,5,200,0.25639472872520497,14,0.6402747631072998,0.004268498420715332,36.64666666666667
200,s5_n200,small,7,20260708,5,200,0.2562444537161201,15,0.8885278701782227,0.004442639350891113,36.65
20,s5_n200,small,8,20260709,5,200,0.2574549031092488,10,0.10755324363708496,0.005377662181854248,38.0
50,s5_n200,small,8,20260709,5,200,0.2617321906584106,13,0.22100019454956055,0.004420003890991211,38.02
100,s5_n200,small,8,20260709,5,200,0.26350182360808383,16,0.43401646614074707,0.004340164661407471,37.99
150,s5_n200,small,8,20260709,5,200,0.2654467581685436,18,0.6580798625946045,0.00438719908396403,37.98
200,s5_n200,small,8,20260709,5,200,0.26567555825692596,18,0.9248299598693848,0.004624149799346924,37.975
20,s5_n200,small,9,20260710,5,200,0.23845673701320735,7,0.0996556282043457,0.004982781410217285,34.15
50,s5_n200,small,9,20260710,5,200,0.24239021761979623,14,0.20100116729736328,0.004020023345947266,34.08
100,s5_n200,small,9,20260710,5,200,0.24374629241685172,17,0.3840000629425049,0.0038400006294250486,34.09
150,s5_n200,small,9,20260710,5,200,0.24366697439086282,18,0.601895809173584,0.004012638727823893,34.04666666666667
200,s5_n200,small,9,20260710,5,200,0.24420780689876556,19,0.8189997673034668,0.004094998836517334,34.07
20,s8_n200,medium,0,20260701,8,200,0.38461302644696665,13,0.1869959831237793,0.009349799156188965,60.2
50,s8_n200,medium,0,20260701,8,200,0.38931219011530566,20,0.39855194091796875,0.007971038818359375,60.24
100,s8_n200,medium,0,20260701,8,200,0.39101171481698266,20,0.8076786994934082,0.008076786994934082,60.4
150,s8_n200,medium,0,20260701,8,200,0.3907605449248349,21,1.3253772258758545,0.008835848172505696,60.333333333333336
200,s8_n200,medium,0,20260701,8,200,0.3912422286822393,22,1.7707133293151855,0.008853566646575928,60.36
20,s8_n200,medium,1,20260702,8,200,0.4300899134852135,11,0.19113636016845703,0.009556818008422851,61.25
50,s8_n200,medium,1,20260702,8,200,0.43474849094920587,21,0.4241511821746826,0.008483023643493652,61.24
100,s8_n200,medium,1,20260702,8,200,0.43589353774518924,21,0.870269775390625,0.00870269775390625,61.25
150,s8_n200,medium,1,20260702,8,200,0.4364997626681397,25,1.3113994598388672,0.008742663065592448,61.29333333333334
200,s8_n200,medium,1,20260702,8,200,0.43671587153858904,23,1.7737085819244385,0.008868542909622192,61.275
20,s8_n200,medium,2,20260703,8,200,0.3760468869021044,13,0.1815023422241211,0.009075117111206055,57.6
50,s8_n200,medium,2,20260703,8,200,0.37962422816891783,17,0.3910641670227051,0.0078212833404541,57.48
100,s8_n200,medium,2,20260703,8,200,0.3801631571827721,18,0.8107705116271973,0.008107705116271973,57.41
150,s8_n200,medium,2,20260703,8,200,0.38050314226310056,18,1.2813098430633545,0.008542065620422363,57.46
200,s8_n200,medium,2,20260703,8,200,0.38050276124413185,21,1.6904540061950684,0.008452270030975342,57.43
20,s8_n200,medium,3,20260704,8,200,0.38601757605261255,12,0.18800020217895508,0.009400010108947754,60.05
50,s8_n200,medium,3,20260704,8,200,0.39766795847055797,15,0.40600037574768066,0.008120007514953613,60.12
100,s8_n200,medium,3,20260704,8,200,0.39966192343707485,20,0.8539435863494873,0.008539435863494873,60.16
