inst_idx,scale,instance_idx,seed,file,method,front_type,point_idx,f1,f2
,s3_n150,0,20260701,,KDPCS,all,40,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,41,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,42,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,43,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,44,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,45,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,46,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,47,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,48,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,all,49,0.13070762531061708,0.982339726145015
,s3_n150,0,20260701,,KDPCS,nd,0,0.13530946289348356,0.982339726145015
,s3_n150,0,20260701,,KDPCS,nd,1,0.1583531197524591,0.968875648926598
,s3_n150,0,20260701,,KDPCS,nd,2,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,nd,3,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,nd,4,0.20140331700404376,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,nd,5,0.20505074222521114,0.8237655169974536
,s3_n150,0,20260701,,KDPCS,nd,6,0.22570443958779388,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,nd,7,0.231610036614948,0.5421231361751845
,s3_n150,0,20260701,,KDPCS,nd,8,0.2371142714336024,0.4470264577434249
,s3_n150,0,20260701,,KDPCS,nd,9,0.2387585766818113,0.3785249330093866
,s3_n150,0,20260701,,KDPCS,union_ref_nd,0,0.13530946289348356,0.982339726145015
,s3_n150,0,20260701,,KDPCS,union_ref_nd,1,0.1583531197524591,0.968875648926598
,s3_n150,0,20260701,,KDPCS,union_ref_nd,2,0.17278323257368752,0.9548833622777025
,s3_n150,0,20260701,,KDPCS,union_ref_nd,3,0.18802321918749607,0.9186084222281028
,s3_n150,0,20260701,,KDPCS,union_ref_nd,4,0.20140331700404376,0.8642260375684323
,s3_n150,0,20260701,,KDPCS,union_ref_nd,5,0.20505074222521114,0.8237655169974536
,s3_n150,0,20260701,,KDPCS,union_ref_nd,6,0.22570443958779388,0.7322137052351246
,s3_n150,0,20260701,,KDPCS,union_ref_nd,7,0.231610036614948,0.5421231361751845
,s3_n150,0,20260701,,KDPCS,union_ref_nd,8,0.2371142714336024,0.4470264577434249
,s3_n150,0,20260701,,KDPCS,union_ref_nd,9,0.2387585766818113,0.3785249330093866
,s3_n200,0,20260701,,KDPCS,all,0,0.20824765883107568,0.3329670918222219
,s3_n200,0,20260701,,KDPCS,all,1,0.20824765883107568,0.3329670918222219
,s3_n200,0,20260701,,KDPCS,all,2,0.21161173413083487,0.3329670918222219
,s3_n200,0,20260701,,KDPCS,all,3,0.21161173413083487,0.3329670918222219
,s3_n200,0,20260701,,KDPCS,all,4,0.20362822839734032,0.5986243990146936
,s3_n200,0,20260701,,KDPCS,all,5,0.20362822839734032,0.5986243990146936
,s3_n200,0,20260701,,KDPCS,all,6,0.1991513356389373,0.6916849877144623
,s3_n200,0,20260701,,KDPCS,all,7,0.19615716665305935,0.7606079304762716
,s3_n200,0,20260701,,KDPCS,all,8,0.1883580572339293,0.8174569236978517
,s3_n200,0,20260701,,KDPCS,all,9,0.18534162131741,0.8047682768745575
,s3_n200,0,20260701,,KDPCS,all,10,0.18311515747652793,0.8047682768745575
,s3_n200,0,20260701,,KDPCS,all,11,0.18311515747652793,0.8047682768745575
,s3_n200,0,20260701,,KDPCS,all,12,0.18020099096672765,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,all,13,0.18020099096672765,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,all,14,0.18020099096672765,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,all,15,0.18045458970962383,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,all,16,0.18045458970962383,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,all,17,0.17156633505197225,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,18,0.16766177892237477,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,19,0.16766177892237477,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,20,0.1731351722208457,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,21,0.1731351722208457,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,22,0.1731351722208457,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,23,0.1731351722208457,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,all,24,0.1546711860183376,0.8805971407695278
,s3_n200,0,20260701,,KDPCS,all,25,0.14077473156344647,0.9475794925885271
